Package,LibPath,Version,Priority,Built
acs,/Users/spgkentgray/Library/R/3.4/library,2.1.2,NA,3.4.2
AnnotationDbi,/Users/spgkentgray/Library/R/3.4/library,1.38.1,NA,3.4.0
autoinst,/Users/spgkentgray/Library/R/3.4/library,0.0.0.9000,NA,3.4.3
babynames,/Users/spgkentgray/Library/R/3.4/library,0.3.0,NA,3.4.0
benchmarkme,/Users/spgkentgray/Library/R/3.4/library,0.6.0,NA,3.4.1
benchmarkmeData,/Users/spgkentgray/Library/R/3.4/library,0.5.1,NA,3.4.1
Biobase,/Users/spgkentgray/Library/R/3.4/library,2.36.2,NA,3.4.0
BiocGenerics,/Users/spgkentgray/Library/R/3.4/library,0.22.0,NA,3.4.0
BiocInstaller,/Users/spgkentgray/Library/R/3.4/library,1.26.0,NA,3.4.0
choroplethr,/Users/spgkentgray/Library/R/3.4/library,3.6.1,NA,3.4.0
choroplethrMaps,/Users/spgkentgray/Library/R/3.4/library,1.0.1,NA,3.4.0
clisymbols,/Users/spgkentgray/Library/R/3.4/library,1.2.0,NA,3.4.0
colourpicker,/Users/spgkentgray/Library/R/3.4/library,1.0,NA,3.4.1
combinat,/Users/spgkentgray/Library/R/3.4/library,0.0-8,NA,3.4.0
corpcor,/Users/spgkentgray/Library/R/3.4/library,1.6.9,NA,3.4.0
dataMaid,/Users/spgkentgray/Library/R/3.4/library,1.0.0,NA,3.4.2
DBI,/Users/spgkentgray/Library/R/3.4/library,0.7,NA,3.4.0
dbplyr,/Users/spgkentgray/Library/R/3.4/library,1.2.0,NA,3.4.3
desc,/Users/spgkentgray/Library/R/3.4/library,1.1.1,NA,3.4.1
devtools,/Users/spgkentgray/Library/R/3.4/library,1.13.4,NA,3.4.2
dplyr,/Users/spgkentgray/Library/R/3.4/library,0.7.4,NA,3.4.1
drat,/Users/spgkentgray/Library/R/3.4/library,0.1.4,NA,3.4.3
efficientTutorial,/Users/spgkentgray/Library/R/3.4/library,0.1.0,NA,3.4.0
enc,/Users/spgkentgray/Library/R/3.4/library,0.1,NA,3.4.2
fs,/Users/spgkentgray/Library/R/3.4/library,1.1.0,NA,3.4.3
gdtools,/Users/spgkentgray/Library/R/3.4/library,0.1.6,NA,3.4.1
genetics,/Users/spgkentgray/Library/R/3.4/library,1.3.8.1,NA,3.4.0
GeneticsPed,/Users/spgkentgray/Library/R/3.4/library,1.38.1,NA,3.4.0
ggbiplot,/Users/spgkentgray/Library/R/3.4/library,0.55,NA,3.4.1
ggplot2,/Users/spgkentgray/Library/R/3.4/library,2.2.1,NA,3.4.0
gh,/Users/spgkentgray/Library/R/3.4/library,1.0.1,NA,3.4.1
giphyr,/Users/spgkentgray/Library/R/3.4/library,0.1.2,NA,3.4.2
here,/Users/spgkentgray/Library/R/3.4/library,0.1,NA,3.4.0
ini,/Users/spgkentgray/Library/R/3.4/library,0.3.0,NA,3.4.2
insertImage,/Users/spgkentgray/Library/R/3.4/library,0.0.0.9000,NA,3.4.1
IRanges,/Users/spgkentgray/Library/R/3.4/library,2.10.2,NA,3.4.0
kableExtra,/Users/spgkentgray/Library/R/3.4/library,0.7.0,NA,3.4.3
knitr,/Users/spgkentgray/Library/R/3.4/library,1.19,NA,3.4.3
LMERConvenienceFunctions,/Users/spgkentgray/Library/R/3.4/library,2.10,NA,3.4.0
magick,/Users/spgkentgray/Library/R/3.4/library,1.6,NA,3.4.3
maptools,/Users/spgkentgray/Library/R/3.4/library,0.9-2,NA,3.4.0
oaColors,/Users/spgkentgray/Library/R/3.4/library,0.0.4,NA,3.4.0
oaPlots,/Users/spgkentgray/Library/R/3.4/library,0.0.25,NA,3.4.0
